miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-346	1	0.271448	N	TCGA-5M-AATE-01A
hsa-mir-3653	27	7.329098	N	TCGA-5M-AATE-01A
hsa-mir-375	19457	5281.564931	N	TCGA-5M-AATE-01A
hsa-mir-484	344	93.378133	N	TCGA-5M-AATE-01A
hsa-mir-760	7	1.900136	N	TCGA-5M-AATE-01A
hsa-mir-1249	0	0.0	N	TCGA-AA-3870-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3870-01A
hsa-mir-1976	2	1.81031	N	TCGA-AA-3870-01A
hsa-mir-2110	0	0.0	N	TCGA-AA-3870-01A
hsa-mir-326	7	6.336086	N	TCGA-AA-3870-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3870-01A
hsa-mir-3653	12	10.861862	N	TCGA-AA-3870-01A
hsa-mir-375	10920	9884.29402	N	TCGA-AA-3870-01A
hsa-mir-484	33	29.870119	N	TCGA-AA-3870-01A
hsa-mir-760	4	3.620621	N	TCGA-AA-3870-01A
hsa-mir-1249	6	0.50509	N	TCGA-A6-6651-01A
hsa-mir-1538	0	0.0	N	TCGA-A6-6651-01A
hsa-mir-1976	44	3.703994	N	TCGA-A6-6651-01A
hsa-mir-2110	9	0.757635	N	TCGA-A6-6651-01A
hsa-mir-326	36	3.030541	N	TCGA-A6-6651-01A
hsa-mir-346	0	0.0	N	TCGA-A6-6651-01A
hsa-mir-3653	29	2.441269	N	TCGA-A6-6651-01A
hsa-mir-375	3403	286.470261	N	TCGA-A6-6651-01A
hsa-mir-484	158	13.300706	N	TCGA-A6-6651-01A
hsa-mir-760	8	0.673453	N	TCGA-A6-6651-01A
hsa-mir-1249	11	1.344149	N	TCGA-A6-5657-01A
hsa-mir-1538	0	0.0	N	TCGA-A6-5657-01A
hsa-mir-1976	49	5.987575	N	TCGA-A6-5657-01A
hsa-mir-2110	15	1.832931	N	TCGA-A6-5657-01A
hsa-mir-326	18	2.199517	N	TCGA-A6-5657-01A
hsa-mir-346	1	0.122195	N	TCGA-A6-5657-01A
hsa-mir-3653	21	2.566103	N	TCGA-A6-5657-01A
hsa-mir-375	10597	1294.904672	N	TCGA-A6-5657-01A
hsa-mir-484	236	28.838115	N	TCGA-A6-5657-01A
hsa-mir-760	4	0.488782	N	TCGA-A6-5657-01A
hsa-mir-1249	14	4.159141	N	TCGA-AD-6963-01A
hsa-mir-1538	2	0.594163	N	TCGA-AD-6963-01A
hsa-mir-1976	49	14.556992	N	TCGA-AD-6963-01A
hsa-mir-2110	9	2.673733	N	TCGA-AD-6963-01A
hsa-mir-326	19	5.644548	N	TCGA-AD-6963-01A
hsa-mir-346	0	0.0	N	TCGA-AD-6963-01A
hsa-mir-3653	23	6.832874	N	TCGA-AD-6963-01A
hsa-mir-375	6375	1893.894382	N	TCGA-AD-6963-01A
hsa-mir-484	338	100.413537	N	TCGA-AD-6963-01A
hsa-mir-760	6	1.782489	N	TCGA-AD-6963-01A
hsa-mir-1249	3	0.626626	N	TCGA-A6-6650-01A
hsa-mir-1538	1	0.208875	N	TCGA-A6-6650-01A
